glottocode,langname,longitude,latitude,ocean_distance
rong1269,Rongga,120.702,-8.84604,1447.04328785644
rotu1241,Rotuman,177.066,-12.5008,1395.75357845364
rovi1238,Roviana,157.408,-8.20493,7080.13817953656
rung1259,Rungus,116.743,6.83989,6511.89397321015
russ1263,Russian,50,59,812003.763454563
sgaw1245,S'gaw Karen,97.7126,17.9872,108339.677072198
saaa1240,Sa'a,161.467,-9.60258,6032.89578985658
saba1279,Sabaic,45.35,15.42,233152.914360253
sadr1248,Sadri,84.8114,23.6585,335857.461471603
samo1305,Samoan,188.17,-13.92,9812.86061119567
sanb1242,San Blas Kuna,281.6925,9.15686,17512.4593135268
sana1295,Sanaani Arabic,44.8412,15.6552,218168.057620241
sang1328,Sango,20.1702,6.78584,1199174.96758439
sans1269,Sanskrit,77,20,427845.666439195
sant1410,Santali,87.8185,25.0317,295752.816131454
sanz1248,Sanzhi,47.5667,41.97796,58178.6405436925
saur1248,Saurashtra,77.9427,9.99172,111702.236544794
savo1255,Savosavo,159.814,-9.12853,17481.0176539093
scot1243,Scots,-3.710133,55.886945,15702.2332757574
scot1245,Scottish Gaelic,-5.24366,56.7574,1615.17591573468
sele1250,Selepet,147.234,-6.03532,9049.56693086183
sema1266,Semai,101.477,4.13257,75536.4629382365
semb1240,Sembakung Murut,116.799,4.22102,72384.2202520841
sene1264,Seneca,282.47,42.56,328641.741939417
sout1528,Serbian-Croatian-Bosnian,18.81,44.15,165634.432896475
shan1277,Shan,98.0342,21.5995,483019.61506857
shat1244,Shatt,29.7687,10.8525,1174522.63598664
shek1244,Shekkacho,35.3922,7.27424,914203.178126181
shil1265,Shilluk,31.7926,9.85472,1046413.86374994
shon1251,Shona,29.75725,-17.20849,585688.189916495
shos1248,Shoshoni,244,41,575777.33085373
sici1248,Sicilian,14.0414,37.5735,50211.9769155741
sida1246,Sidamo,38.3729,6.74176,699709.556262931
siee1239,Sie,169.166,-18.8181,4461.84068002613
sina1266,Sinaugoro,147.861,-9.79791,31257.8930354567
sind1272,Sindhi,69,26,229944.601903268
sing1272,Singlish,-1,53,70847.8290577413
sinh1246,Sinhala,81,8,49299.7006273279
slov1269,Slovak,18.78479,48.545705,483427.681708861
slov1268,Slovenian,14.7766,46.2543,103228.419668823
soma1255,Somali,45.152856,4.778704,252584.115185517
sora1254,Sora,84.19,19.1213,51200.4044728701
sout3283,South Yorkshire English,-1,53,70847.8290577413
koon1244,South-Central Koongo,14.4771,-5.57722,159133.224949286
sout2859,Southeast Ambrym,168.211,-16.2975,5172.36721713391
raro1241,Southern Cook Island Maori,200.22,-21.23,1980.32862315194
sout2668,Southern Hindko,72.1702,33.2122,1014674.19720056
kach1280,Southern Jinghpaw,97.3278,25.4634,654384.556234362
sout2807,Southern Sotho,27.89,-28.78,322911.571087681
sout2832,Southwestern Dinka,28.0613,8.81115,1450487.33694923
stan1288,Spanish,-1.11788,40.4414,108555.207311718
squa1248,Squamish,236.986,49.3231,77.9334545184054
stan1318,Standard Arabic,43.8525,27.9625,409661.070500395
indo1316,Standard Indonesian,109.716,-7.33458,49428.517018947
stan1306,Standard Malay,101.699,3.08896,39207.8934171109
suau1242,Suau,150.21,-10.6606,2931.67724514717
